time,x,y,z,qx,qy,qz,qw,type
0.0,0.0,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.1,0.1,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.2,0.2,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.3,0.3,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.4,0.4,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.5,0.5,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.6,0.6,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.7,0.7,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.8,0.8,-5.0,0.0,0.0,0.0,0.0,1.0,S
0.9,0.9,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.0,1.0,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.1,1.1,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.2,1.2,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.3,1.3,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.4,1.4,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.5,1.5,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.6,1.6,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.7,1.7,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.8,1.8,-5.0,0.0,0.0,0.0,0.0,1.0,S
1.9,1.9,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.0,2.0,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.1,2.1,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.2,2.2,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.3,2.3,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.4,2.4,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.5,2.5,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.6,2.6,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.7,2.7,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.8,2.8,-5.0,0.0,0.0,0.0,0.0,1.0,S
2.9,2.9,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.0,3.0,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.1,3.1,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.2,3.2,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.3,3.3,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.4,3.4,-5.0,0.0,0.0,0.0,0.0,1.0,S
3.5,3.5,-5.0,0.0,0.0,0.0,0.0,1.0,S
